beta,energy,magnet
0.10000,-0.10938,0.06250
0.10000,-0.17188,-0.15625
0.10000,-0.10938,0.00000
0.10000,-0.29688,-0.18750
0.10000,-0.60938,-0.37500
0.10000,-0.39062,0.28125
0.10000,-0.45312,0.21875
0.10000,-0.23438,0.03125
0.11020,-0.17188,0.00000
0.10000,-0.14062,0.18750
0.10000,-0.10938,0.03125
0.11020,-0.10938,-0.12500
0.11020,-0.48438,0.37500
0.11020,-0.17188,-0.12500
0.11020,-0.29688,-0.03125
0.11020,-0.17188,0.03125
0.12041,-0.64062,-0.40625
0.11020,-0.14062,-0.15625
0.11020,-0.26562,-0.03125
0.11020,-0.60938,0.25000
0.11020,-0.29688,-0.09375
0.12041,-0.32812,-0.15625
0.12041,-0.26562,-0.06250
0.12041,-0.01562,-0.15625
0.12041,-0.54688,-0.18750
0.12041,-0.17188,0.00000
0.12041,-0.42188,0.18750
0.12041,-0.20312,0.06250
0.12041,-0.26562,-0.25000
0.12041,-0.48438,0.18750
0.13061,-0.07812,0.15625
0.13061,-0.32812,-0.18750
0.13061,-0.20312,0.28125
0.13061,-0.29688,-0.21875
0.13061,-0.20312,0.18750
0.13061,-0.57812,0.18750
0.13061,-0.35938,-0.34375
0.13061,-0.32812,0.09375
0.14082,-0.07812,-0.12500
0.13061,-0.23438,0.03125
0.14082,-0.29688,0.03125
0.13061,-0.45312,-0.21875
0.14082,-0.48438,0.25000
0.14082,-0.51562,-0.34375
0.14082,-0.39062,0.18750
0.14082,-0.20312,0.09375
0.14082,-0.48438,0.28125
0.14082,-0.42188,-0.12500
0.14082,-0.51562,0.40625
0.15102,-0.29688,0.09375
0.15102,0.26562,-0.15625
0.14082,-0.20312,-0.15625
0.15102,-0.54688,0.25000
0.15102,-0.29688,0.03125
0.15102,-0.82812,0.40625
0.15102,-0.14062,0.18750
0.15102,-0.10938,0.06250
0.15102,-0.14062,0.15625
0.15102,-0.57812,-0.25000
0.15102,-0.51562,-0.31250
0.16122,-0.54688,-0.28125
0.16122,-0.35938,-0.28125
0.16122,-0.82812,-0.37500
0.16122,0.10938,0.06250
0.16122,-0.32812,-0.09375
0.16122,-0.54688,-0.28125
0.16122,-0.67188,0.28125
0.16122,-0.23438,-0.03125
0.17143,-0.42188,-0.03125
0.16122,-0.20312,-0.15625
0.16122,-0.54688,-0.12500
0.17143,-0.51562,-0.25000
0.17143,-0.45312,-0.28125
0.17143,-0.64062,-0.31250
0.17143,-0.89062,-0.56250
0.17143,-0.35938,0.00000
0.17143,-0.79688,0.43750
0.17143,-0.35938,0.09375
0.17143,-0.35938,-0.03125
0.18163,-0.17188,-0.18750
0.17143,-0.14062,0.31250
0.18163,-0.70312,-0.34375
0.18163,-0.60938,0.40625
0.18163,-0.20312,-0.15625
0.18163,-0.39062,0.15625
0.18163,-0.42188,0.21875
0.18163,-0.54688,-0.06250
0.18163,-0.35938,-0.03125
0.18163,-0.54688,0.37500
0.19184,-0.42188,0.18750
0.18163,-0.14062,-0.15625
0.19184,-0.23438,-0.25000
0.19184,-0.26562,0.03125
0.19184,-0.39062,-0.34375
0.19184,-0.45312,-0.18750
0.19184,-0.70312,0.34375
0.19184,-0.42188,-0.09375
0.19184,-0.67188,-0.31250
0.19184,-0.70312,0.43750
0.19184,-0.39062,0.25000
0.20204,-0.82812,-0.43750
0.20204,-0.57812,0.09375
0.20204,-0.39062,0.06250
0.20204,-0.51562,0.43750
0.20204,-0.48438,0.18750
0.20204,-0.82812,0.40625
0.21224,-0.35938,0.18750
0.20204,-0.64062,-0.40625
0.20204,-0.70312,0.25000
0.20204,-0.51562,-0.15625
0.20204,-0.73438,0.40625
0.21224,-0.51562,-0.21875
0.21224,-0.35938,-0.28125
0.21224,-0.14062,-0.15625
0.21224,-0.60938,0.37500
0.21224,-0.57812,-0.37500
0.21224,-0.04688,0.12500
0.21224,-0.54688,0.40625
0.21224,-0.57812,0.25000
0.22245,-0.82812,0.43750
0.21224,-0.42188,-0.31250
0.22245,-0.26562,-0.03125
0.22245,-0.51562,0.37500
0.22245,-0.64062,-0.25000
0.22245,-1.10938,-0.56250
0.22245,-0.42188,0.09375
0.22245,-0.35938,0.15625
0.22245,-0.35938,0.21875
0.23265,-0.60938,-0.34375
0.22245,-0.51562,-0.09375
0.22245,-0.32812,-0.09375
0.23265,-0.67188,-0.34375
0.23265,-0.54688,-0.28125
0.23265,-0.79688,-0.53125
0.23265,-0.39062,0.18750
0.23265,-0.70312,-0.43750
0.23265,-0.32812,-0.03125
0.23265,-0.70312,-0.43750
0.23265,-0.48438,0.31250
0.23265,-0.60938,-0.40625
0.24286,-0.70312,0.43750
0.24286,-0.57812,0.43750
0.24286,-0.76562,0.50000
0.24286,-0.54688,-0.03125
0.24286,-0.79688,-0.37500
0.24286,-0.60938,-0.28125
0.24286,-0.54688,0.28125
0.24286,-0.95312,0.53125
0.24286,-0.23438,0.03125
0.24286,-0.20312,-0.03125
0.25306,-0.73438,-0.40625
0.25306,-0.45312,-0.06250
0.25306,-0.64062,-0.31250
0.25306,-0.64062,-0.43750
0.25306,-0.23438,0.06250
0.25306,-1.14062,-0.62500
0.25306,-0.35938,-0.31250
0.25306,-0.70312,0.40625
0.26327,-0.67188,0.28125
0.25306,-0.32812,-0.31250
0.25306,-0.67188,-0.21875
0.26327,-0.79688,-0.28125
0.26327,-0.51562,-0.12500
0.26327,-1.14062,0.65625
0.26327,-0.45312,0.09375
0.26327,-0.51562,0.21875
0.26327,-0.42188,0.18750
0.26327,-0.85938,-0.50000
0.26327,-0.89062,-0.43750
0.27347,-0.51562,-0.18750
0.27347,-0.51562,0.18750
0.26327,-0.10938,-0.09375
0.27347,-0.82812,-0.28125
0.27347,-0.64062,-0.43750
0.27347,-0.95312,-0.56250
0.27347,-0.60938,0.43750
0.27347,-0.92188,0.50000
0.27347,-0.42188,-0.34375
0.27347,-1.17188,-0.65625
0.28367,-1.17188,-0.62500
0.28367,-1.17188,0.59375
0.28367,-0.48438,-0.06250
0.27347,-1.57812,-0.84375
0.28367,-0.64062,0.40625
0.28367,-1.23438,-0.65625
0.28367,-1.23438,-0.59375
0.28367,-0.89062,-0.53125
0.28367,-0.70312,-0.31250
0.28367,-1.29688,0.68750
0.29388,-0.60938,0.46875
0.28367,-0.98438,0.50000
0.29388,-0.67188,-0.40625
0.29388,-0.92188,-0.46875
0.29388,-0.85938,-0.37500
0.29388,-1.23438,0.65625
0.29388,-1.04688,0.56250
0.29388,-1.17188,-0.62500
0.29388,-0.98438,0.50000
0.30408,-1.07812,-0.53125
0.29388,-0.67188,-0.37500
0.29388,-0.79688,0.37500
0.30408,-0.57812,0.21875
0.30408,-0.70312,-0.34375
0.30408,-1.07812,0.62500
0.30408,-1.01562,-0.56250
0.30408,-1.07812,-0.59375
0.30408,-0.70312,-0.09375
0.30408,-0.89062,0.50000
0.30408,-0.70312,0.40625
0.31429,-0.95312,0.53125
0.31429,-0.79688,-0.28125
0.30408,-1.10938,-0.56250
0.31429,-0.82812,-0.34375
0.31429,-1.01562,0.59375
0.31429,-0.67188,0.40625
0.31429,-1.10938,-0.56250
0.31429,-1.10938,-0.53125
0.31429,-0.89062,-0.53125
0.31429,-0.92188,-0.46875
0.32449,-1.23438,0.62500
0.32449,-1.26562,-0.65625
0.31429,-0.82812,-0.43750
0.32449,-1.35938,0.71875
0.32449,-1.07812,0.56250
0.32449,-0.98438,-0.53125
0.32449,-1.60938,0.84375
0.32449,-0.73438,-0.37500
0.32449,-0.85938,-0.56250
0.32449,-0.95312,-0.50000
0.32449,-0.98438,-0.40625
0.33469,-0.89062,0.37500
0.33469,-0.92188,-0.62500
0.33469,-0.98438,0.50000
0.33469,-1.26562,0.71875
0.33469,-1.10938,0.56250
0.33469,-1.35938,0.68750
0.33469,-1.23438,0.68750
0.33469,-0.79688,0.25000
0.33469,-1.07812,-0.59375
0.33469,-1.04688,0.56250
0.34490,-1.10938,0.59375
0.34490,-1.17188,0.59375
0.34490,-1.73438,-0.90625
0.34490,-1.48438,0.78125
0.34490,-1.64062,0.84375
