beta,energy,magnet
0.10000,-0.39062,-0.25000
0.10000,-0.29688,0.12500
0.10000,-0.23438,0.06250
0.10000,-0.04688,-0.18750
0.10000,-0.32812,0.21875
0.10000,-0.35938,0.25000
0.10000,-0.04688,0.09375
0.10000,-0.39062,-0.12500
0.10000,0.20312,0.06250
0.10000,-0.20312,0.06250
0.10000,-0.04688,0.06250
0.10000,-0.17188,0.06250
0.10000,-0.14062,-0.03125
0.10000,-0.57812,0.15625
0.10000,-0.35938,-0.03125
0.10000,0.07812,0.15625
0.10000,-0.01562,0.03125
0.11020,-0.29688,-0.15625
0.10000,-0.01562,0.18750
0.11020,-0.42188,0.09375
0.10000,0.01562,-0.06250
0.11020,-0.45312,-0.21875
0.11020,-0.14062,0.03125
0.10000,-0.42188,-0.21875
0.11020,-0.07812,-0.09375
0.11020,-0.14062,0.09375
0.11020,-0.39062,-0.18750
0.11020,-0.35938,-0.18750
0.11020,0.04688,0.09375
0.11020,-0.01562,-0.15625
0.11020,0.07812,0.03125
0.11020,-0.54688,-0.09375
0.11020,0.04688,0.15625
0.11020,-0.39062,0.03125
0.11020,-0.20312,0.21875
0.11020,0.01562,-0.18750
0.11020,-0.39062,0.28125
0.11020,-0.10938,0.09375
0.11020,-0.39062,-0.28125
0.12041,-0.32812,-0.15625
0.11020,-0.51562,0.18750
0.12041,0.01562,-0.03125
0.12041,-0.29688,-0.06250
0.12041,-0.45312,0.09375
0.12041,-0.26562,0.18750
0.12041,-0.23438,0.03125
0.12041,-0.29688,0.15625
0.12041,-0.60938,0.25000
0.12041,-0.35938,0.12500
0.12041,-0.17188,0.06250
0.12041,-0.07812,-0.12500
0.12041,-0.10938,-0.12500
0.12041,-0.32812,-0.18750
0.12041,-0.79688,-0.28125
0.12041,-0.64062,0.37500
0.12041,-0.17188,-0.25000
0.12041,-0.10938,-0.06250
0.12041,-0.01562,-0.03125
0.12041,-0.23438,0.12500
0.12041,0.10938,-0.12500
0.13061,-0.35938,-0.25000
0.13061,-0.51562,-0.25000
0.13061,-0.23438,0.15625
0.13061,-0.35938,0.28125
0.13061,-0.29688,0.15625
0.13061,-0.35938,0.03125
0.13061,-0.10938,-0.03125
0.13061,-0.07812,0.18750
0.13061,-0.23438,0.28125
0.13061,-0.67188,-0.18750
0.13061,-0.39062,-0.25000
0.13061,-0.57812,0.25000
0.13061,-0.10938,0.21875
0.13061,-0.51562,-0.12500
0.13061,-0.54688,-0.03125
0.13061,-0.32812,-0.37500
0.13061,-0.10938,-0.15625
0.13061,-0.07812,0.03125
0.14082,-0.42188,-0.09375
0.13061,-0.04688,0.12500
0.14082,-0.54688,-0.31250
0.13061,-0.14062,0.12500
0.14082,0.04688,0.06250
0.14082,-0.32812,0.00000
0.14082,-0.42188,-0.09375
0.14082,-0.26562,-0.06250
0.14082,-0.35938,0.25000
0.14082,-0.35938,0.15625
0.14082,-0.60938,-0.21875
0.14082,-0.35938,0.15625
0.14082,-0.35938,0.25000
0.14082,-0.54688,-0.09375
0.14082,-0.20312,0.03125
0.14082,-0.67188,0.21875
0.14082,-0.39062,-0.06250
0.14082,-0.45312,-0.18750
0.14082,-0.73438,-0.43750
0.14082,-0.04688,-0.09375
0.14082,-0.26562,-0.12500
0.15102,-0.26562,0.31250
0.14082,-0.76562,0.34375
0.15102,-0.42188,-0.21875
0.15102,-0.35938,-0.31250
0.15102,-0.32812,-0.18750
0.15102,-0.10938,0.06250
0.15102,-0.26562,0.25000
0.15102,-0.01562,0.06250
0.15102,-0.04688,-0.18750
0.15102,-0.57812,-0.34375
0.15102,-0.35938,0.15625
0.15102,-0.54688,0.40625
0.15102,-0.32812,0.06250
0.15102,-0.32812,-0.15625
0.15102,-0.23438,0.09375
0.15102,-0.17188,-0.06250
0.15102,-0.35938,-0.31250
0.15102,-0.10938,0.03125
0.15102,-0.35938,0.21875
0.15102,-0.29688,-0.12500
0.15102,0.04688,-0.03125
0.16122,-0.29688,0.15625
0.16122,-0.42188,0.18750
0.16122,-0.54688,-0.28125
0.16122,-0.42188,0.15625
0.16122,-0.51562,-0.15625
0.16122,-0.51562,0.34375
0.16122,-0.29688,-0.28125
0.16122,-0.26562,-0.03125
0.16122,-0.35938,0.15625
0.16122,-0.39062,0.21875
0.16122,-0.17188,0.00000
0.16122,-0.57812,0.31250
0.16122,-0.29688,-0.25000
0.16122,-0.35938,-0.09375
0.16122,-0.35938,-0.28125
0.16122,-0.60938,0.09375
0.16122,-0.57812,0.18750
0.16122,-0.42188,-0.15625
0.16122,-0.32812,0.09375
0.16122,-0.45312,-0.09375
0.17143,-0.32812,0.06250
0.17143,-0.35938,0.06250
0.17143,-0.57812,-0.28125
0.17143,-0.42188,0.21875
0.17143,-0.32812,0.03125
0.17143,-0.32812,-0.21875
0.17143,-0.14062,-0.09375
0.17143,-0.26562,0.09375
0.17143,-0.04688,-0.06250
0.17143,-0.64062,-0.03125
0.17143,-0.64062,0.37500
0.17143,-0.73438,0.31250
0.17143,-0.42188,0.06250
0.17143,-0.10938,0.06250
0.17143,-0.32812,-0.03125
0.17143,-0.57812,-0.28125
0.17143,-0.39062,0.18750
0.17143,-0.70312,-0.37500
0.17143,0.01562,-0.12500
0.17143,-0.39062,-0.09375
0.18163,-0.76562,-0.46875
0.18163,-0.26562,-0.03125
0.18163,-0.64062,-0.37500
0.18163,-0.42188,0.28125
0.18163,0.26562,-0.09375
0.18163,-0.04688,-0.09375
0.18163,-0.01562,0.00000
0.18163,-0.76562,0.31250
0.18163,-1.01562,-0.53125
0.18163,-0.51562,-0.34375
0.18163,-0.04688,0.06250
0.18163,-0.54688,0.25000
0.18163,-0.60938,-0.34375
0.18163,-0.32812,0.28125
0.18163,-0.89062,-0.43750
0.18163,-0.01562,-0.15625
0.18163,-0.32812,-0.09375
0.18163,-0.17188,0.15625
0.18163,-0.14062,0.09375
0.18163,-0.32812,-0.12500
0.19184,0.14062,0.00000
0.19184,-0.60938,-0.37500
0.19184,-0.54688,0.28125
0.19184,-0.20312,-0.03125
0.19184,-0.60938,-0.31250
0.19184,-0.70312,0.46875
0.19184,-0.23438,0.15625
0.19184,-0.04688,-0.12500
0.19184,-0.82812,-0.53125
0.19184,-0.45312,0.21875
0.19184,-0.35938,-0.12500
0.19184,-0.54688,0.37500
0.19184,-0.73438,-0.34375
0.19184,-0.57812,0.15625
0.19184,-0.26562,-0.15625
0.19184,-0.48438,-0.25000
0.19184,-0.82812,0.40625
0.19184,-0.23438,0.15625
0.19184,-0.45312,-0.15625
0.19184,-0.67188,0.31250
0.20204,-0.45312,-0.18750
0.20204,-0.45312,-0.37500
0.20204,-0.39062,-0.15625
0.20204,-0.48438,-0.03125
0.20204,-0.64062,0.37500
0.20204,-0.48438,-0.21875
0.20204,-0.64062,-0.37500
0.20204,-0.57812,0.21875
0.20204,-0.39062,0.18750
0.20204,-0.57812,0.21875
0.20204,-0.20312,0.15625
0.20204,-0.17188,-0.15625
0.20204,-0.64062,-0.34375
0.20204,-0.89062,-0.53125
0.20204,-0.76562,0.31250
0.20204,-0.64062,-0.40625
0.20204,-0.20312,0.12500
0.20204,-0.29688,-0.09375
0.20204,-0.48438,0.15625
0.20204,-0.73438,-0.34375
0.21224,-0.39062,-0.21875
0.21224,-0.42188,0.09375
0.21224,-0.70312,0.25000
0.21224,-0.32812,0.03125
0.21224,-0.07812,-0.03125
0.21224,-0.76562,-0.34375
0.21224,-0.76562,-0.43750
0.21224,-0.51562,0.31250
0.21224,-0.29688,-0.28125
0.21224,-1.01562,0.46875
0.21224,-0.60938,-0.46875
0.21224,-0.48438,0.21875
0.21224,-0.35938,0.06250
0.21224,-0.29688,-0.25000
0.21224,-0.54688,0.18750
0.21224,-0.60938,0.37500
0.21224,-0.42188,-0.21875
0.21224,-0.85938,-0.40625
0.21224,-0.54688,-0.31250
0.21224,-0.45312,-0.21875
0.22245,-0.48438,-0.12500
0.22245,-0.60938,-0.31250
0.22245,-0.89062,0.56250
0.22245,-0.92188,-0.53125
0.22245,-0.76562,0.40625
0.22245,-0.51562,0.06250
0.22245,-0.82812,0.43750
0.22245,-0.82812,-0.37500
0.22245,-0.10938,0.00000
0.22245,-1.26562,0.65625
0.22245,-0.04688,0.00000
0.22245,-0.64062,0.28125
0.22245,-0.45312,0.03125
0.22245,-0.82812,0.43750
0.22245,-0.54688,0.40625
0.22245,-0.73438,-0.31250
0.22245,-1.20312,0.59375
0.22245,-0.35938,0.12500
0.22245,-0.70312,-0.43750
0.23265,-1.07812,0.59375
0.23265,-1.10938,0.59375
0.22245,-0.39062,0.15625
0.23265,-0.73438,-0.46875
0.23265,-0.95312,-0.43750
0.23265,-0.29688,0.09375
0.23265,-0.76562,-0.37500
0.23265,-1.04688,-0.65625
0.23265,-0.79688,-0.40625
0.23265,-0.60938,-0.31250
0.23265,-0.73438,0.37500
0.23265,-1.07812,-0.56250
0.23265,-0.89062,0.43750
0.23265,-0.35938,-0.12500
0.23265,-0.39062,-0.15625
0.23265,-0.48438,0.21875
0.23265,-0.76562,0.46875
0.23265,-1.07812,0.56250
0.23265,-0.64062,0.18750
0.24286,-0.64062,-0.28125
0.23265,-0.26562,-0.40625
0.23265,-0.60938,-0.40625
0.24286,-0.17188,-0.03125
0.24286,-0.85938,0.53125
0.24286,-1.04688,0.62500
0.24286,-0.85938,0.31250
0.24286,-0.57812,-0.31250
0.24286,-0.54688,0.28125
0.24286,-0.92188,-0.46875
0.24286,-0.29688,-0.15625
0.24286,-1.32812,0.68750
0.24286,-0.70312,0.34375
0.24286,-0.67188,0.31250
0.24286,-0.60938,0.28125
0.24286,-0.89062,0.43750
0.24286,-1.01562,-0.53125
0.24286,-0.39062,0.00000
0.24286,-0.48438,-0.18750
0.24286,-0.89062,-0.43750
0.24286,-0.64062,0.12500
0.25306,-0.60938,-0.18750
0.24286,-0.45312,-0.03125
0.25306,-0.60938,0.37500
0.25306,-0.73438,-0.37500
0.25306,-0.89062,-0.50000
0.25306,-0.57812,0.15625
0.25306,-0.48438,0.15625
0.25306,-0.51562,0.18750
0.25306,-0.57812,0.34375
0.25306,-0.45312,0.12500
0.25306,-0.95312,-0.59375
0.25306,-0.54688,0.37500
0.25306,-0.95312,0.50000
0.25306,-1.14062,-0.62500
0.25306,-0.70312,-0.31250
0.25306,-1.04688,-0.53125
0.25306,-0.67188,0.31250
0.25306,-1.07812,-0.56250
0.25306,-1.10938,0.62500
0.25306,-1.23438,-0.62500
0.25306,-0.51562,-0.31250
0.26327,-1.14062,-0.68750
0.26327,-0.60938,-0.34375
0.26327,-1.07812,0.53125
0.26327,-0.64062,-0.28125
0.26327,-0.76562,0.37500
0.26327,-0.79688,0.50000
0.26327,-1.07812,-0.59375
0.26327,-0.51562,0.28125
0.26327,-0.60938,-0.37500
0.26327,-0.54688,-0.37500
0.26327,-0.67188,0.37500
0.26327,-0.51562,-0.09375
0.26327,-1.01562,-0.50000
0.26327,-0.92188,-0.46875
0.26327,-0.64062,-0.25000
0.26327,-0.82812,0.37500
0.26327,-0.76562,-0.31250
0.26327,-0.82812,0.43750
0.26327,-0.92188,-0.37500
0.26327,-0.57812,0.40625
0.27347,-0.92188,-0.59375
0.27347,-0.73438,0.50000
0.27347,-0.10938,-0.15625
0.27347,-1.01562,-0.56250
0.27347,-0.85938,0.46875
0.27347,-0.54688,0.31250
0.27347,-0.79688,-0.43750
0.27347,-0.89062,-0.53125
0.27347,-0.79688,-0.28125
0.27347,-0.60938,-0.28125
0.27347,-1.01562,0.59375
0.27347,-0.85938,-0.59375
0.27347,-0.73438,-0.31250
0.27347,-0.89062,-0.43750
0.27347,-1.07812,-0.53125
0.27347,-0.95312,-0.31250
0.27347,-0.20312,-0.12500
0.27347,-0.79688,-0.43750
0.27347,-0.98438,-0.50000
0.28367,-1.14062,-0.53125
0.27347,-0.45312,-0.06250
