beta,energy,magnet
0.10000,-0.03125,0.12500
0.11020,-0.40625,0.15625
0.11020,-0.28125,0.12500
0.11020,-0.06250,-0.06250
0.11020,-0.18750,-0.15625
0.11020,-0.09375,-0.06250
0.11020,-0.18750,0.03125
0.10000,-0.21875,0.12500
0.10000,-0.18750,0.18750
0.11020,-0.12500,0.31250
0.11020,-0.18750,0.06250
0.12041,-0.37500,-0.15625
0.12041,-0.18750,-0.12500
0.12041,-0.28125,-0.12500
0.12041,-0.46875,0.28125
0.12041,-0.21875,-0.12500
0.12041,-0.25000,-0.12500
0.12041,-0.18750,-0.09375
0.12041,-0.31250,-0.09375
0.12041,-0.18750,0.12500
0.12041,0.09375,-0.09375
0.13061,-0.18750,-0.12500
0.13061,-0.06250,0.06250
0.13061,-0.75000,-0.43750
0.13061,-0.25000,-0.03125
0.13061,-0.90625,0.46875
0.13061,-0.53125,-0.06250
0.13061,-0.31250,0.06250
0.13061,-0.21875,0.06250
0.13061,-0.40625,0.09375
0.14082,-0.15625,-0.09375
0.13061,-0.37500,0.12500
0.14082,-0.40625,-0.15625
0.14082,-0.43750,-0.06250
0.14082,-0.06250,-0.12500
0.14082,-0.18750,-0.28125
0.14082,-0.03125,-0.03125
0.10000,-0.12500,-0.18750
0.14082,-0.43750,0.28125
0.14082,-0.40625,0.31250
0.14082,-0.09375,0.25000
0.14082,-0.28125,-0.09375
0.15102,-0.15625,-0.09375
0.15102,-0.12500,0.28125
0.15102,-0.43750,-0.28125
0.11020,-0.21875,0.18750
0.15102,-0.28125,-0.12500
0.10000,-0.12500,-0.12500
0.15102,-0.31250,-0.31250
0.15102,-0.28125,0.03125
0.15102,-0.12500,0.18750
0.11020,-0.34375,0.31250
0.15102,-0.18750,0.06250
0.15102,-0.25000,0.00000
0.15102,-0.46875,0.21875
0.16122,-0.40625,0.03125
0.16122,-0.62500,0.03125
0.16122,-0.34375,0.09375
0.16122,-0.40625,0.15625
0.16122,-0.18750,0.18750
0.10000,-0.43750,0.43750
0.16122,-0.31250,-0.09375
0.16122,-0.34375,0.34375
0.16122,-0.21875,0.00000
0.16122,-0.31250,-0.21875
0.16122,-0.50000,0.25000
0.17143,-0.68750,0.34375
0.17143,-0.28125,-0.06250
0.17143,-0.31250,0.31250
0.17143,-0.40625,0.09375
0.17143,-0.50000,-0.37500
0.17143,-0.56250,0.37500
0.17143,-0.21875,0.09375
0.17143,-0.46875,0.21875
0.17143,-0.53125,0.34375
0.17143,-0.34375,0.00000
0.18163,0.06250,0.21875
0.18163,-0.34375,-0.25000
0.18163,-0.53125,0.15625
0.10000,-0.71875,-0.21875
0.10000,-0.25000,-0.15625
0.18163,-0.65625,0.37500
0.18163,-0.31250,-0.12500
0.10000,-0.06250,0.03125
0.18163,-0.65625,0.28125
0.18163,-0.25000,-0.21875
0.18163,-0.68750,0.31250
0.18163,-0.62500,-0.37500
0.18163,-0.62500,0.40625
0.19184,-0.40625,-0.06250
0.19184,-0.06250,-0.12500
0.19184,-0.43750,0.15625
0.19184,-0.25000,-0.09375
0.19184,-0.21875,0.06250
0.19184,-0.18750,0.31250
0.19184,-0.21875,-0.03125
0.19184,-0.25000,0.09375
0.19184,-0.81250,-0.46875
0.19184,-0.34375,-0.25000
0.20204,-0.43750,0.09375
0.20204,-0.31250,-0.18750
0.20204,-0.12500,-0.15625
0.20204,-0.53125,-0.25000
0.20204,-0.87500,0.62500
0.20204,-0.56250,-0.34375
0.20204,-0.84375,0.40625
0.20204,-0.43750,0.12500
0.20204,-0.65625,-0.28125
0.20204,-0.28125,-0.18750
0.21224,-0.71875,0.43750
0.21224,-0.15625,0.00000
0.21224,-0.59375,0.43750
0.21224,-0.50000,0.21875
0.21224,-0.62500,-0.28125
0.21224,-0.40625,0.34375
0.21224,-0.15625,-0.06250
0.21224,-0.75000,-0.37500
0.21224,-0.53125,0.15625
0.21224,-0.43750,0.15625
0.22245,-0.28125,0.15625
0.22245,-1.00000,-0.43750
0.22245,-0.46875,-0.28125
0.22245,-0.15625,-0.06250
0.22245,-0.15625,0.06250
0.22245,-0.71875,0.25000
0.22245,-0.46875,0.09375
0.22245,-0.37500,0.25000
0.22245,-0.56250,0.25000
0.22245,-0.40625,0.00000
0.23265,-0.56250,-0.31250
0.23265,-0.62500,0.21875
0.23265,-0.78125,-0.43750
0.23265,-0.46875,0.25000
0.23265,-0.78125,0.43750
0.23265,-0.53125,-0.34375
0.23265,-0.25000,-0.03125
0.23265,-0.46875,-0.06250
0.23265,-0.12500,-0.03125
0.10000,-0.03125,-0.03125
0.24286,-1.09375,0.62500
0.23265,-0.75000,0.50000
0.24286,-1.06250,0.59375
0.24286,-0.28125,-0.03125
0.24286,-1.46875,-0.71875
0.24286,-0.06250,0.00000
0.24286,-0.46875,-0.28125
0.24286,-0.56250,-0.28125
0.24286,-0.68750,0.34375
0.24286,-0.50000,-0.12500
0.24286,-0.93750,0.25000
0.25306,-0.40625,0.31250
0.25306,-0.62500,0.34375
0.25306,-0.68750,-0.34375
0.25306,-0.53125,0.34375
0.25306,-0.62500,-0.43750
0.25306,-0.40625,-0.18750
0.25306,-0.28125,0.03125
0.25306,-1.00000,-0.53125
0.25306,-0.68750,0.28125
0.25306,-0.46875,0.03125
0.26327,-0.46875,0.06250
0.26327,-0.84375,0.37500
0.26327,-1.06250,-0.53125
0.26327,-0.75000,0.37500
0.26327,-0.62500,0.43750
0.26327,-0.90625,0.46875
0.26327,-1.06250,-0.53125
0.26327,-0.81250,-0.25000
0.26327,-0.78125,-0.25000
0.26327,-0.93750,0.40625
0.27347,-1.31250,0.71875
0.27347,-0.65625,0.31250
0.27347,-0.53125,-0.34375
0.27347,-0.59375,0.34375
0.27347,-0.46875,0.15625
0.27347,-1.50000,-0.78125
0.27347,-1.03125,-0.40625
0.27347,-0.93750,-0.40625
0.27347,-0.65625,-0.28125
0.27347,-0.37500,-0.25000
0.28367,-0.93750,0.50000
0.28367,-0.40625,0.12500
0.28367,-1.15625,-0.59375
0.28367,-0.78125,-0.46875
0.28367,-0.59375,-0.18750
0.28367,-0.65625,0.46875
0.28367,-0.93750,0.59375
0.28367,-1.28125,0.75000
0.28367,-0.96875,-0.56250
0.28367,-1.28125,0.65625
0.29388,-0.68750,0.43750
0.29388,-0.40625,0.18750
0.29388,-1.12500,-0.71875
0.29388,-0.43750,0.03125
0.29388,-0.59375,0.37500
0.29388,-0.37500,-0.21875
0.29388,-0.78125,0.46875
0.29388,-0.71875,0.31250
0.29388,-1.09375,0.50000
0.29388,-0.65625,0.28125
0.30408,-0.59375,0.40625
0.30408,-1.46875,-0.78125
0.30408,-1.03125,-0.59375
0.30408,-0.84375,0.46875
0.30408,-1.18750,0.62500
0.30408,-0.87500,-0.50000
0.30408,-0.93750,-0.56250
0.30408,-0.87500,-0.37500
0.30408,-0.84375,-0.40625
0.30408,-1.12500,0.53125
0.31429,-0.75000,-0.43750
0.31429,-0.65625,0.25000
0.31429,-0.43750,-0.21875
0.31429,-0.65625,-0.25000
0.31429,-1.09375,-0.59375
0.31429,-1.40625,0.68750
0.31429,-1.15625,-0.65625
0.31429,-0.96875,-0.50000
0.31429,-0.93750,-0.50000
0.31429,-1.56250,-0.78125
0.32449,-1.15625,0.65625
0.32449,-1.06250,0.53125
0.32449,-1.18750,-0.56250
0.32449,-1.43750,0.75000
0.32449,-1.34375,-0.68750
0.32449,-0.71875,-0.34375
0.32449,-0.90625,-0.43750
0.32449,-1.18750,0.68750
0.32449,-0.56250,-0.15625
0.32449,-0.81250,-0.43750
0.33469,-1.21875,-0.68750
0.33469,-1.21875,-0.62500
0.33469,-1.09375,0.53125
0.33469,-1.31250,0.68750
0.33469,-0.90625,0.50000
0.33469,-1.18750,-0.65625
0.33469,-0.96875,0.53125
0.33469,-1.28125,0.68750
0.33469,-0.62500,0.00000
0.33469,-1.18750,-0.59375
0.34490,-1.34375,0.78125
0.34490,-0.81250,0.50000
0.34490,-1.00000,0.37500
0.34490,-1.56250,0.81250
0.34490,-1.25000,-0.59375
0.34490,-0.87500,0.34375
0.34490,-1.28125,0.68750
0.34490,-1.43750,-0.71875
0.34490,-1.12500,0.56250
0.34490,-1.18750,0.59375
0.35510,-1.00000,0.53125
0.35510,-1.31250,-0.62500
0.35510,-0.96875,-0.43750
0.35510,-0.78125,0.56250
