beta,energy,magnet
0.10000,-0.28125,0.00000
0.10000,-0.37500,0.21875
0.11020,-0.21875,-0.03125
0.13061,-0.09375,-0.12500
0.13061,-1.21875,0.46875
0.11020,-0.93750,-0.40625
0.12041,-0.37500,0.06250
0.12041,-0.21875,0.03125
0.12041,-0.46875,-0.09375
0.10000,-0.25000,-0.25000
0.11020,-0.40625,-0.34375
0.13061,0.03125,-0.03125
0.14082,-0.09375,-0.12500
0.15102,-0.93750,-0.50000
0.15102,-1.21875,-0.46875
0.16122,-1.37500,0.53125
0.14082,-0.12500,0.00000
0.16122,-1.09375,-0.37500
0.15102,-0.59375,0.28125
0.16122,-0.90625,-0.37500
0.17143,-1.31250,0.50000
0.17143,-0.68750,0.00000
0.14082,0.25000,0.03125
0.17143,-0.43750,-0.21875
0.18163,-1.34375,-0.43750
0.18163,-1.03125,0.43750
0.19184,-1.96875,0.68750
0.20204,-0.68750,0.34375
0.20204,-1.56250,-0.59375
0.18163,-1.31250,-0.53125
0.20204,-1.50000,-0.59375
0.21224,-2.28125,0.81250
0.19184,-1.06250,-0.46875
0.21224,-1.90625,-0.71875
0.19184,-1.50000,-0.59375
0.21224,-1.96875,0.68750
0.22245,-1.37500,-0.53125
0.22245,-1.31250,0.53125
0.23265,-2.09375,-0.78125
0.23265,-2.03125,-0.75000
0.22245,-1.81250,-0.68750
0.24286,-1.59375,-0.59375
0.24286,-2.25000,-0.84375
0.24286,-1.71875,-0.62500
0.25306,-1.25000,-0.56250
0.25306,-2.40625,-0.87500
0.23265,-1.65625,0.62500
0.25306,-2.15625,-0.78125
0.26327,-1.65625,-0.59375
0.27347,-2.00000,-0.75000
0.27347,-1.71875,-0.62500
0.27347,-2.62500,-0.90625
0.26327,-2.03125,-0.78125
0.28367,-1.46875,-0.56250
0.26327,-2.12500,-0.78125
0.28367,-2.34375,-0.81250
0.28367,-2.53125,-0.87500
0.29388,-2.34375,-0.84375
0.29388,-2.09375,-0.75000
0.29388,-1.78125,-0.65625
0.30408,-1.93750,-0.68750
0.31429,-2.15625,-0.75000
0.31429,-2.03125,-0.75000
0.30408,-2.28125,-0.81250
0.31429,-2.21875,-0.78125
0.30408,-2.37500,-0.84375
0.32449,-2.71875,-0.93750
0.32449,-2.06250,-0.71875
0.32449,-2.53125,-0.90625
0.33469,-2.43750,-0.84375
0.33469,-2.18750,-0.81250
0.34490,-2.53125,-0.90625
0.33469,-2.40625,-0.84375
0.34490,-2.56250,-0.90625
0.35510,-2.59375,0.90625
0.34490,-2.18750,-0.81250
0.35510,-2.78125,-0.96875
0.35510,-2.25000,-0.78125
0.36531,-2.46875,-0.87500
0.36531,-2.62500,-0.90625
0.36531,-2.71875,-0.93750
0.37551,-2.15625,-0.75000
0.37551,-2.43750,-0.84375
0.38571,-2.46875,-0.87500
0.37551,-2.90625,-1.00000
0.39592,-2.68750,-0.93750
0.38571,-2.43750,-0.84375
0.39592,-2.40625,-0.84375
0.40612,-2.71875,-0.93750
0.39592,-2.81250,0.96875
0.38571,-2.71875,-0.93750
0.40612,-2.62500,-0.90625
0.40612,-2.53125,-0.90625
0.41633,-2.59375,-0.90625
0.41633,-2.53125,-0.87500
0.41633,-2.81250,-0.96875
0.42653,-2.90625,-1.00000
0.42653,-2.90625,-1.00000
0.43673,-2.71875,-0.93750
0.43673,-2.90625,-1.00000
0.43673,-2.50000,-0.87500
0.44694,-2.90625,-1.00000
0.42653,-2.81250,-0.96875
0.44694,-2.50000,-0.87500
0.45714,-2.90625,-1.00000
0.45714,-2.50000,-0.87500
0.44694,-2.90625,-1.00000
0.45714,-2.56250,-0.90625
0.46735,-2.68750,-0.93750
0.46735,-2.81250,-0.96875
0.46735,-2.62500,-0.90625
0.47755,-2.53125,-0.87500
0.47755,-2.65625,-0.90625
0.47755,-2.68750,-0.93750
0.48776,-2.90625,-1.00000
0.48776,-2.81250,-0.96875
0.48776,-2.71875,0.93750
0.49796,-2.90625,-1.00000
0.49796,-2.90625,-1.00000
0.49796,-2.81250,-0.96875
0.50816,-2.68750,-0.93750
0.50816,-2.50000,-0.87500
0.51837,-2.90625,-1.00000
0.50816,-2.90625,-1.00000
0.52857,-2.71875,-0.93750
0.51837,-2.78125,-0.96875
0.52857,-2.62500,-0.90625
0.51837,-2.81250,-0.96875
0.53878,-2.75000,-0.93750
0.53878,-2.90625,-1.00000
0.52857,-2.90625,-1.00000
0.53878,-2.78125,-0.96875
0.54898,-2.81250,-0.96875
0.54898,-2.59375,-0.90625
0.54898,-2.81250,-0.96875
0.55918,-2.78125,-0.96875
0.55918,-2.81250,-0.96875
0.55918,-2.90625,-1.00000
0.56939,-2.59375,0.90625
0.56939,-2.81250,-0.96875
0.56939,-2.65625,-0.90625
0.57959,-2.90625,-1.00000
0.57959,-2.81250,-0.96875
0.57959,-2.81250,-0.96875
0.58980,-2.68750,-0.93750
0.58980,-2.90625,-1.00000
0.58980,-2.81250,-0.96875
0.60000,-2.90625,-1.00000
0.60000,-2.62500,-0.90625
0.60000,-2.90625,-1.00000
