beta,energy,magnet
0.10000,-0.95312,-0.31250
0.10000,-0.98438,0.46875
0.10000,-0.67188,0.43750
0.10000,0.10938,-0.03125
0.10000,-0.35938,0.03125
0.10000,-0.35938,0.12500
0.10000,-0.39062,0.06250
0.10000,-0.39062,0.12500
0.10000,-0.20312,0.03125
0.10000,-1.10938,0.40625
0.10000,-0.42188,0.12500
0.10000,-0.70312,0.40625
0.10000,-0.54688,0.25000
0.10000,-0.14062,0.15625
0.10000,-0.32812,0.18750
0.10000,-0.39062,-0.15625
0.10000,-0.45312,-0.15625
0.10000,0.14062,-0.06250
0.10000,-0.07812,-0.18750
0.10000,-0.29688,0.00000
0.10000,-0.67188,-0.31250
0.10000,-0.29688,-0.03125
0.10000,-0.10938,0.09375
0.10000,-0.29688,0.00000
0.10000,-0.48438,-0.15625
0.10000,-0.07812,-0.12500
0.10000,-1.10938,0.40625
0.10000,0.01562,-0.03125
0.10000,-0.29688,-0.15625
0.10000,-0.04688,0.12500
0.10000,-0.32812,0.12500
0.10000,-1.17188,0.46875
0.10000,-0.29688,-0.12500
0.10000,0.01562,0.09375
0.10000,-0.39062,-0.15625
0.10000,-0.23438,-0.15625
0.10000,-0.32812,0.09375
0.10000,-0.01562,0.00000
0.10000,-0.57812,0.09375
0.10000,-0.51562,0.21875
0.10000,-1.76562,0.71875
0.10000,-0.14062,0.15625
0.10000,-0.39062,-0.06250
0.10000,-0.42188,0.12500
0.10000,-0.23438,-0.18750
0.10000,-0.14062,-0.06250
0.10000,-0.26562,-0.21875
0.10000,-0.76562,0.09375
0.10000,-0.73438,0.34375
0.10000,-0.23438,-0.12500
0.10000,0.23438,-0.03125
0.10000,-0.23438,-0.09375
0.10000,-0.48438,0.28125
0.10000,-0.57812,-0.06250
0.10000,-0.07812,-0.21875
0.10000,-0.14062,0.15625
0.10000,-0.39062,0.03125
0.10000,-0.32812,-0.21875
0.10000,-0.48438,-0.31250
0.10000,-0.17188,-0.12500
0.10000,0.04688,-0.15625
0.10000,-0.10938,0.09375
0.10000,-0.23438,-0.03125
0.10000,0.01562,0.09375
0.10000,-0.54688,0.18750
0.10000,-0.67188,0.28125
0.10000,-0.17188,-0.15625
0.10000,-0.45312,0.09375
0.10000,-0.35938,-0.12500
0.10000,-0.14062,-0.03125
0.10000,-0.35938,0.15625
0.10000,-0.10938,0.09375
0.10000,-0.29688,-0.15625
0.10000,-0.48438,0.12500
0.10000,-0.20312,-0.18750
0.10000,-0.14062,0.15625
0.10000,-0.14062,0.00000
0.10000,-0.35938,-0.03125
0.10000,-0.23438,0.06250
0.10000,-0.54688,0.25000
0.10000,-0.39062,0.21875
0.10000,-0.26562,-0.31250
0.10000,-0.70312,0.40625
0.10000,-0.20312,-0.09375
0.10000,-0.51562,-0.31250
0.10000,-0.35938,0.06250
0.10000,-0.48438,-0.03125
0.10000,-0.20312,-0.15625
0.10000,-0.35938,0.03125
0.10000,0.07812,0.12500
0.10000,-0.54688,-0.09375
0.10000,-0.57812,0.18750
0.10000,-0.10938,-0.06250
0.10000,-0.14062,0.25000
0.10000,-0.64062,0.37500
0.10000,-0.48438,-0.18750
0.10000,-0.29688,-0.09375
0.10000,-0.51562,0.28125
0.10000,-0.54688,0.28125
0.11020,-1.04688,-0.43750
0.11020,-0.82812,0.25000
0.11020,-0.10938,-0.15625
0.11020,-0.23438,-0.03125
0.11020,-0.70312,-0.21875
0.11020,0.04688,0.06250
0.11020,0.51562,-0.15625
0.10000,-0.35938,-0.18750
0.11020,-0.29688,-0.12500
0.11020,-0.57812,0.15625
0.11020,-0.17188,-0.28125
0.11020,-0.64062,-0.25000
0.11020,-0.17188,0.09375
0.11020,0.29688,0.03125
0.11020,-0.10938,-0.09375
0.11020,-0.20312,-0.12500
0.11020,-0.92188,0.37500
0.11020,-0.51562,0.37500
0.11020,-0.17188,0.00000
0.11020,-0.64062,-0.21875
0.11020,-0.01562,0.12500
0.11020,-0.48438,0.28125
0.11020,-0.89062,0.37500
0.11020,0.26562,0.09375
0.11020,0.17188,-0.06250
0.11020,-0.45312,0.15625
0.11020,-0.14062,-0.18750
0.11020,-0.26562,0.12500
